Year,Battery_Capacity_kWh,Battery_Health_%,Range_km,Charging_Power_kW,Charging_Time_hr,Charge_Cycles,Energy_Consumption_kWh_per_100km,Mileage_km,Avg_Speed_kmh,Max_Speed_kmh,Acceleration_0_100_kmh_sec,Temperature_C,CO2_Saved_tons,Maintenance_Cost_USD,Insurance_Cost_USD,Electricity_Cost_USD_per_kWh,Monthly_Charging_Cost_USD,Resale_Value_USD,Make_BMW,Make_Chevrolet,Make_Ford,Make_Hyundai,Make_Kia,Make_Mercedes,Make_Nissan,Make_Tesla,Make_Volkswagen,Region_Australia,Region_Europe,Region_North America,Vehicle_Type_SUV,Vehicle_Type_Sedan,Vehicle_Type_Truck,Usage_Type_Fleet,Usage_Type_Personal
2021,101.7,75.5,565,153.6,0.82,1438,12.76,117727,53.4,233,8.1,-9.0,14.13,969,843,0.3,375.55,26483,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
2020,30.1,99.8,157,157.2,0.27,1056,15.79,161730,58.0,221,9.83,1.6,19.41,1157,1186,0.25,532.02,11287,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
2021,118.5,84.0,677,173.6,0.84,1497,24.34,244931,69.4,138,3.6,1.5,29.39,291,1890,0.26,1291.68,34023,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False
2022,33.1,97.3,149,169.3,0.25,1613,14.7,57995,42.9,192,8.97,12.5,6.96,401,2481,0.33,234.44,14398,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2022,81.3,85.6,481,212.8,0.43,1078,22.77,17185,97.6,189,7.03,-3.0,2.06,214,2336,0.1,32.61,23033,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
2021,68.1,81.8,312,14.4,6.31,591,21.48,134312,72.4,235,5.83,-4.2,16.12,334,700,0.25,601.05,19412,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
2016,38.6,81.1,206,170.2,0.27,925,23.53,206664,56.8,176,8.14,28.0,24.8,1441,1002,0.29,1175.18,13983,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
2021,33.6,91.3,141,116.0,0.39,1063,20.27,112059,69.4,133,9.4,2.5,13.45,948,2178,0.28,530.0,14121,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
2018,114.9,88.0,619,221.4,0.61,1797,20.23,7693,62.0,237,4.71,34.6,0.92,1554,2163,0.3,38.91,31897,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
2023,58.6,73.3,261,113.1,0.57,1968,15.96,194125,65.8,138,6.65,24.6,23.3,1457,1183,0.15,387.28,20833,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True
2020,49.7,86.7,238,26.5,2.46,1491,15.27,246025,79.9,230,5.35,-8.2,29.52,312,501,0.22,688.75,17350,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
